PD Class, JP17 Position , JP19 Position , JP13 Position , JP15 Position
12/14   , Across 1 and 2, Across 1 and 2, Across 1 and 2, Across 1 and 2
11/13   , Across 2 and 3, Across 2 and 3, Across 2 and 3, Across 2 and 3
